Sample in Buffer,Sample in Window,TRIGGER,fircomp_bd_i/system_ila_0/inst/probe0_1[17:0],fircomp_bd_i/system_ila_0/inst/probe1_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED
547,547,0,-9,160
548,548,0,-9,657
549,549,0,-9,495
550,550,0,-9,184
551,551,0,-9,-636
552,552,0,-9,-639
553,553,0,19,-558
554,554,0,19,235
555,555,0,19,-836
556,556,0,19,-309
557,557,0,19,214
558,558,0,19,-560
559,559,0,19,405
560,560,0,19,-55
561,561,0,19,-583
562,562,0,19,441
563,563,0,40,408
564,564,0,40,474
565,565,0,40,-57
566,566,0,40,-64
567,567,0,40,140
568,568,0,40,901
569,569,0,40,-41
570,570,0,40,476
571,571,0,40,-844
572,572,0,40,-564
573,573,0,45,-7
574,574,0,45,652
575,575,0,45,-265
576,576,0,45,-17
577,577,0,45,178
578,578,0,45,437
579,579,0,45,225
580,580,0,45,-96
581,581,0,45,-583
582,582,0,45,182
583,583,0,32,241
584,584,0,32,189
585,585,0,32,-803
586,586,0,32,510
587,587,0,32,473
588,588,0,32,-90
589,589,0,32,-799
590,590,0,32,640
591,591,0,32,-278
592,592,0,32,-110
593,593,0,5,-8
594,594,0,5,-779
595,595,0,5,189
596,596,0,5,234
597,597,0,5,-619
598,598,0,5,137
599,599,0,5,501
600,600,0,5,251
601,601,0,5,155
602,602,0,5,483
603,603,0,-23,-640
604,604,0,-23,486
605,605,0,-23,-556
606,606,0,-23,-300
607,607,0,-23,-632
608,608,0,-23,206
609,609,0,-23,-535
610,610,0,-23,-293
611,611,0,-23,396
612,612,0,-23,235
613,613,0,-42,227
614,614,0,-42,-381
615,615,0,-42,-590
616,616,0,-42,130
617,617,0,-42,-528
618,618,0,-42,-546
619,619,0,-42,1004
620,620,0,-42,445
621,621,0,-42,208
622,622,0,-42,-342
623,623,0,-45,405
624,624,0,-45,-569
625,625,0,-45,-337
626,626,0,-45,493
627,627,0,-45,-109
628,628,0,-45,470
629,629,0,-45,735
630,630,0,-45,-629
631,631,0,-45,691
632,632,0,-45,149
633,633,0,-29,-860
634,634,0,-29,-260
635,635,0,-29,143
636,636,0,-29,-48
637,637,0,-29,430
638,638,0,-29,-296
639,639,0,-29,-558
640,640,0,-29,-856
641,641,0,-29,-574
642,642,0,-29,-822
643,643,0,-1,235
644,644,0,-1,-47
645,645,0,-1,460
646,646,0,-1,641
647,647,0,-1,672
648,648,0,-1,-97
649,649,0,-1,-583
650,650,0,-1,-627
651,651,0,-1,-371
652,652,0,-1,135
653,653,0,27,-336
654,654,0,27,400
655,655,0,27,-848
656,656,0,27,-363
657,657,0,27,-572
658,658,0,27,-111
659,659,0,27,-561
660,660,0,27,-305
661,661,0,27,-269
662,662,0,27,216
663,663,0,45,-786
664,664,0,45,-86
665,665,0,45,-878
666,666,0,45,-28
667,667,0,45,-63
668,668,0,45,663
669,669,0,45,452
670,670,0,45,190
671,671,0,45,164
672,672,0,45,245
673,673,0,44,-623
674,674,0,44,-118
675,675,0,44,-293
676,676,0,44,-313
677,677,0,44,473
678,678,0,44,734
679,679,0,44,438
680,680,0,44,-27
681,681,0,44,-115
682,682,0,44,713
683,683,0,26,-3
684,684,0,26,708
685,685,0,26,-45
686,686,0,26,-106
687,687,0,26,-546
688,688,0,26,-77
689,689,0,26,-12
690,690,0,26,418
691,691,0,26,-123
692,692,0,26,142
693,693,0,-3,-261
694,694,0,-3,-774
695,695,0,-3,656
696,696,0,-3,728
697,697,0,-3,963
698,698,0,-3,-91
699,699,0,-3,738
700,700,0,-3,-372
701,701,0,-3,169
702,702,0,-3,416
703,703,0,-31,495
704,704,0,-31,-35
705,705,0,-31,443
706,706,0,-31,-366
707,707,0,-31,197
708,708,0,-31,-264
709,709,0,-31,-36
710,710,0,-31,-770
711,711,0,-31,489
712,712,0,-31,-364
713,713,0,-47,232
714,714,0,-47,-581
715,715,0,-47,-573
716,716,0,-47,139
717,717,0,-47,-368
718,718,0,-47,208
719,719,0,-47,-587
720,720,0,-47,464
721,721,0,-47,461
722,722,0,-47,174
723,723,0,-44,-528
724,724,0,-44,393
725,725,0,-44,-575
726,726,0,-44,386
727,727,0,-44,-522
728,728,0,-44,230
729,729,0,-44,-362
730,730,0,-44,1206
731,731,0,-44,450
732,732,0,-44,971
733,733,0,-24,717
734,734,0,-24,-63
735,735,0,-24,-813
736,736,0,-24,-789
737,737,0,-24,-120
738,738,0,-24,-75
739,739,0,-24,151
740,740,0,-24,150
741,741,0,-24,164
742,742,0,-24,-588
743,743,0,7,-383
744,744,0,7,-567
745,745,0,7,150
746,746,0,7,706
747,747,0,7,-55
748,748,0,7,137
749,749,0,7,-777
750,750,0,7,-358
751,751,0,7,748
752,752,0,7,-377
753,753,0,35,640
754,754,0,35,679
755,755,0,35,-336
756,756,0,35,205
757,757,0,35,141
758,758,0,35,-274
759,759,0,35,473
760,760,0,35,-288
761,761,0,35,247
762,762,0,35,465
763,763,0,49,-68
764,764,0,49,-294
765,765,0,49,242
766,766,0,49,-378
767,767,0,49,-1098
768,768,0,49,476
769,769,0,49,-353
770,770,0,49,426
771,771,0,49,172
772,772,0,49,235
773,773,0,44,-559
774,774,0,44,-356
775,775,0,44,399
776,776,0,44,-378
777,777,0,44,-630
778,778,0,44,163
779,779,0,44,-263
780,780,0,44,159
781,781,0,44,-375
782,782,0,44,670
783,783,0,21,-618
784,784,0,21,711
785,785,0,21,-6
786,786,0,21,746
787,787,0,21,163
788,788,0,21,145
789,789,0,21,684
790,790,0,21,-62
791,791,0,21,431
792,792,0,21,-595
793,793,0,-11,449
794,794,0,-11,-126
795,795,0,-11,472
796,796,0,-11,732
797,797,0,-11,-573
798,798,0,-11,-563
799,799,0,-11,-550
800,800,0,-11,237
801,801,0,-11,131
802,802,0,-11,468
803,803,0,-39,-555
804,804,0,-39,-377
805,805,0,-39,-84
806,806,0,-39,-321
807,807,0,-39,500
808,808,0,-39,-4
809,809,0,-39,-49
810,810,0,-39,510
811,811,0,-39,-106
812,812,0,-39,-39
813,813,0,-51,492
814,814,0,-51,180
815,815,0,-51,-93
816,816,0,-51,-15
817,817,0,-51,-377
818,818,0,-51,180
819,819,0,-51,-339
820,820,0,-51,438
821,821,0,-51,-353
822,822,0,-51,-588
823,823,0,-43,-382
824,824,0,-43,-616
825,825,0,-43,211
826,826,0,-43,-559
827,827,0,-43,487
828,828,0,-43,211
829,829,0,-43,389
830,830,0,-43,927
831,831,0,-43,-529
832,832,0,-43,-335
833,833,0,-18,-776
834,834,0,-18,487
835,835,0,-18,709
836,836,0,-18,487
837,837,0,-18,391
838,838,0,-18,-603
839,839,0,-18,495
840,840,0,-18,404
841,841,0,-18,178
842,842,0,-18,-867
843,843,0,15,943
844,844,0,15,151
845,845,0,15,138
846,846,0,15,-864
847,847,0,15,960
848,848,0,15,680
849,849,0,15,-365
850,850,0,15,390
851,851,0,15,-341
852,852,0,15,409
853,853,0,42,420
854,854,0,42,-338
855,855,0,42,-795
856,856,0,42,233
857,857,0,42,-520
858,858,0,42,-372
859,859,0,42,135
860,860,0,42,480
861,861,0,42,197
862,862,0,42,-46
863,863,0,53,-345
864,864,0,53,419
865,865,0,53,-518
866,866,0,53,-308
867,867,0,53,393
868,868,0,53,896
869,869,0,53,-379
870,870,0,53,210
871,871,0,53,-572
872,872,0,53,244
873,873,0,43,748
874,874,0,43,-12
875,875,0,43,-88
876,876,0,43,-618
877,877,0,43,-57
878,878,0,43,-857
